id,title,difficulty,description
1,Two Sum,Easy,Find two numbers that add up to target.
2,Valid Parentheses,Easy,Check balanced brackets.
3,Binary Search,Easy,Search in sorted array.
4,Merge Two Sorted Lists,Easy,Merge linked lists.
5,Maximum Subarray,Easy,Find maximum sum subarray.
6,Climbing Stairs,Easy,Count ways to climb stairs.
7,Best Time to Buy and Sell Stock,Easy,Max profit from stock prices.
8,Contains Duplicate,Easy,Check duplicates in array.
9,Reverse Linked List,Easy,Reverse a linked list.
10,Remove Duplicates from Sorted Array,Easy,Remove duplicates in array.
11,Group Anagrams,Medium,Group words that are anagrams.
12,Longest Substring Without Repeating Characters,Medium,Find longest unique substring.
13,3Sum,Medium,Find triplets that sum to zero.
14,Container With Most Water,Medium,Find max water container.
15,Merge Intervals,Medium,Merge overlapping intervals.
16,Product of Array Except Self,Medium,Compute product except self.
17,Search in Rotated Sorted Array,Medium,Search rotated array.
18,Number of Islands,Medium,Count islands in grid.
19,Coin Change,Medium,Minimum coins needed.
20,Course Schedule,Medium,Check if courses can be finished.
21,Trapping Rain Water,Hard,Calculate trapped rain water.
22,Median of Two Sorted Arrays,Hard,Find median of sorted arrays.
23,Regular Expression Matching,Hard,Regex pattern matching.
24,Merge k Sorted Lists,Hard,Merge multiple linked lists.
25,N Queens,Hard,Place queens safely.
26,Sudoku Solver,Hard,Solve sudoku puzzle.
27,Word Ladder,Hard,Shortest transformation sequence.
28,Edit Distance,Hard,Minimum edit operations.
29,LFU Cache,Hard,Design LFU cache.
30,Serialize and Deserialize Binary Tree,Hard,Tree serialization.
31,Two Sum,Easy,Find two numbers that add up to target.
32,Valid Parentheses,Easy,Check balanced brackets.
33,Binary Search,Easy,Search in sorted array.
34,Merge Two Sorted Lists,Easy,Merge linked lists.
35,Maximum Subarray,Easy,Find maximum sum subarray.
36,Climbing Stairs,Easy,Count ways to climb stairs.
37,Best Time to Buy and Sell Stock,Easy,Max profit from stock prices.
38,Contains Duplicate,Easy,Check duplicates in array.
39,Reverse Linked List,Easy,Reverse a linked list.
40,Remove Duplicates from Sorted Array,Easy,Remove duplicates in array.
41,Group Anagrams,Medium,Group words that are anagrams.
